Tags;Checked;Name;Formula;Annot. Source: Predicted Compositions;Annot. Source: mzCloud Search;Annot. Source: mzVault Search;Annot. Source: ChemSpider Search;Annot. Source: MassList Search;Annot. DeltaMass [ppm];Calc. MW;m/z;RT [min];Area (Max.);# ChemSpider Results;# mzCloud Results;# mzVault Results;mzCloud Best Match;mzCloud Best Match Confidence;mzCloud Best Sim. Match;mzVault Best Match;Mass List Match: Endogenous Metabolites database 4400 compounds;Mass List Match: Natural Products Atlas 2020_06;MS2;Reference Ion;Area: JB10553.raw (F1);Area: JB10553_20250303023609.raw (F2);Peak Rating: JB10553.raw (F1);Peak Rating: JB10553_20250303023609.raw (F2)
;FALSO;;C5 H2 Cl2 O8 P2 S4;Full match;No results;No results;No results;No results;-1,45;449,74783;450,75436;1,144;1677338,089;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1677338,089;1534112,845;7,7;7,7
;FALSO;;;No results;No results;No results;No results;No results;;108,0123;109,01958;0,994;5182395,562;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;5182395,562;4800888,501;5,9;5,3
;FALSO;;C2 H2 Cl2 O6 P2 S4;Full match;No results;No results;No results;No results;2,57;381,75963;382,76691;1,149;2146509,313;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;2146509,313;2050466,734;8,6;7,5
;FALSO;;C5 H2 N5 O P;Full match;No results;No results;No results;No results;-1,69;178,99939;90,50697;7,432;20082808,18;0;0;0;;;;;No matches found;No matches found;DDA for other ion;[M+2H]+2;;20082808,18;;5,1
;FALSO;;;No results;No results;No results;No results;No results;;451,82698;530,84894;1,101;1850459,564;0;0;0;;;;;No matches found;No matches found;No MS2;[M+DMSO+H]+1;1850459,564;1850335,498;8,3;8,3
;FALSO;;;No results;No results;No results;No results;No results;;1383,65207;692,83331;1,107;1883461,18;0;0;0;;;;;No matches found;No matches found;No MS2;[M+2H]+2;;1883461,18;;8,3
;FALSO;Guanylmelamine;C4 H8 N8;Full match;Invalid mass;No results;Full match;No results;1,71;168,08748;169,09477;1,119;4112475,927;1;10;0;;;66,7;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;3950715,869;4112475,927;5,3;7
;FALSO;;C3 H5 N2 O13 P S;Full match;No results;No results;No results;No results;-1,23;339,92458;340,93185;1,077;2631257,645;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;2631257,645;2528495,32;8;8
;FALSO;;;No results;No results;No results;No results;No results;;137,89921;138,90649;1,166;3490695,778;0;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;3490695,778;3360526,753;5,3;4,2
;FALSO;thiomorpholine-3-carboxylic acid;C5 H9 N O2 S;Full match;No results;No results;Full match;Full match;0,39;147,03546;148,04273;1,964;1665188,614;9;0;0;;;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;1665188,614;1572729,377;7,2;8,3
;FALSO;;C12 H6 N5 O17 P3 S4;Full match;No results;No results;No results;No results;0,3;712,78565;357,4001;0,995;3195827,022;0;0;0;;;;;No matches found;No matches found;No MS2;[M+2H]+2;3076141,1;3195827,022;4,2;5,3
;FALSO;"[Similar to: 3-Hydroxy-1-[3-(trifluoromethyl)phenyl]pyrazin-2(1H)-one; ?Mass: -66.1413 Da]";;No results;Invalid mass;No results;No results;No results;;189,90467;190,91195;1,109;3436641,674;0;3;0;;;44,7;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;3436641,674;3072175,608;4,8;4,8
;FALSO;;C9 H25 N4 O6 P;Full match;No results;No results;No match;No results;3,08;316,15215;334,18597;6,891;17910418,54;1;0;0;;;;;No matches found;No matches found;DDA for other ion;[M+NH4]+1;;17910418,54;;6,2
;FALSO;;C3 H9 N4 P S;Full match;No results;No results;No results;No results;0,83;164,02869;83,02162;1,103;5654978,297;0;0;0;;;;;No matches found;No matches found;DDA for other ion;[M+2H]+2;;5654978,297;;4,2
;FALSO;;;No results;No results;No results;No results;No results;;295,79311;296,80038;1,145;1538302,204;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1538302,204;1507150,265;8,3;8,3
;FALSO;tyrosine O-sulfate;C9 H11 N O6 S;Full match;No results;No results;Full match;No results;-0,17;261,03066;262,03793;3,287;2207159,757;4;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;2207159,757;2056721,225;8;7,5
;FALSO;;C2 H4 N O8 P;Full match;No results;No results;No results;No results;4,87;200,96843;201,97571;0,304;789167,9331;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;789167,9331;;9;
;FALSO;;;No results;No results;No results;No results;No results;;413,70825;414,71477;1,145;1370690,185;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1370690,185;1283532,706;8,8;8,3
;FALSO;;C14 H21 O6 P;Full match;No results;No results;No match;No match;0,48;316,10773;317,115;1,144;5063117,253;2;0;0;;;;;No matches found;Multiple matches found;No MS2;[M+H]+1;5063117,253;4874288,885;4,8;4,8
;FALSO;;;No results;No results;No results;No results;No results;;1527,65317;764,83386;1,082;2090810,557;0;0;0;;;;;No matches found;No matches found;No MS2;[M+2H]+2;2090810,557;1977402,098;8;7,5
;FALSO;;C2 H N6 O3 P3;Full match;No results;No results;No results;No results;-3,11;249,93152;250,9388;0,989;5021929,938;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;5021929,938;4805487,986;5,3;3,2
;FALSO;;;No results;No results;No results;No results;No results;;219,02887;110,52171;7,55;35306141,4;0;0;0;;;;;No matches found;No matches found;DDA for other ion;[M+2H]+2;35306141,4;7742550,744;5,1;6,2
;FALSO;1,3-Dimethylbutylamine;C6 H15 N;Full match;No results;No results;Full match;Full match;0,31;101,12048;102,12776;7,53;42905724,71;15;0;0;;;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;31680050,05;42905724,71;4;5,7
;FALSO;;;No results;No results;No results;No results;No results;;287,76146;288,76874;1,168;3101799,917;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;3101799,917;2943008,121;4,8;8
;FALSO;;C H3 O4 P3 S3;Full match;No results;No results;No results;No results;-4,81;267,83934;268,84662;1,143;1770627,518;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1770627,518;1650734,487;7,7;8,3
;FALSO;;C10 H10 N2 O8 P2 S5;Full match;No results;No results;No results;No results;-1,35;507,85091;508,85818;1,081;2211300,043;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;2211300,043;2028602,582;8;8
;FALSO;;;No results;No results;No results;No results;No results;;192,12383;193,13111;1,113;5554087,196;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;5554087,196;5059809,449;5,9;5,3
;FALSO;;C3 H N4 O3 P3 S5;Full match;No results;No results;No results;No results;-0,99;393,78611;394,79269;1,141;1533865,051;0;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;;1533865,051;;7,7
;FALSO;Methylsulfonylmethane;C2 H6 O2 S;Full match;No results;No results;Full match;Full match;0,26;94,00887;95,01615;1,95;2837664,334;1;0;0;;;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;2811681,222;2837664,334;8;7,5
;FALSO;;;No results;No results;No results;No results;No results;;1231,69816;616,85635;1,097;1409587,466;0;0;0;;;;;No matches found;No matches found;No MS2;[M+2H]+2;1409587,466;1344180,56;8,3;7,7
;FALSO;;;No results;No results;No results;No results;No results;;1335,72507;668,86981;1,097;1228120,21;0;0;0;;;;;No matches found;No matches found;No MS2;[M+2H]+2;1228120,21;1208550,943;8,3;8,3
;FALSO;;C9 H5 Cl O12 P2;Full match;No results;No results;No results;No results;1,58;401,89511;402,90239;1,063;1657361,663;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1657361,663;1388047,765;8,3;8,3
;FALSO;;C11 H19 N3 O7 S2;Full match;No results;No results;No match;No results;0,22;369,06652;370,07381;1,391;1972294,926;1;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;1972294,926;1704448,603;8;8,3
;FALSO;;C4 H N2 O P3 S;Full match;No results;No results;No results;No results;4,81;217,90329;218,91055;1,004;4624909,057;0;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;4507954,318;4624909,057;4,8;2,6
;FALSO;;;No results;No results;No results;No results;No results;;113,88659;114,89386;1,145;2112971,748;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;2112971,748;1979039,792;9,1;7
;FALSO;;C3 H N2 O10 P3 S5;Full match;No results;No results;No results;No results;4,89;477,74709;478,75409;1,142;1320726,003;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1320726,003;1231378,867;8,3;7,7
;FALSO;;C11 H12 N P;Full match;No results;No results;No results;No results;-3,27;189,07012;207,10395;4,13;1858260,968;0;0;0;;;;;No matches found;No matches found;No MS2;[M+NH4]+1;1567216,834;1858260,968;7,2;8,3
;FALSO;9-Decenoylcarnitine;C17 H31 N O4;Full match;No results;No results;Full match;No results;-0,18;313,22525;314,23253;6,49;2310097,078;1;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;2264096,779;2310097,078;7,5;8
;FALSO;Pyrogallol;C6 H6 O3;Full match;No results;No results;Full match;Full match;0,49;126,03176;127,03903;1,446;1811858,018;24;0;0;;;;;Multiple matches found;Multiple matches found;No MS2;[M+H]+1;1811858,018;;7,2;
;FALSO;;;No results;No results;No results;No results;No results;;1487,67429;744,84442;1,097;1249996,757;0;0;0;;;;;No matches found;No matches found;No MS2;[M+2H]+2;1249996,757;;8,3;
;FALSO;;C H Cl O P2 S4;Full match;No results;No results;No match;No results;4,23;253,80847;254,81575;1,145;1332740,336;1;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;1332740,336;1242618,515;7,2;7,7
;FALSO;Phenylethyl alcohol;C8 H10 O;No results;Invalid mass;No results;Full match;Full match;0,09;122,07318;123,08045;7,058;45006640,77;25;10;0;;;45,3;;Multiple matches found;Single match found;DDA for preferred ion;[M+H]+1;45006640,77;23232928,22;5,7;4
;FALSO;;;No results;No results;No results;No results;No results;;1503,64786;752,83121;1,097;1142906,043;0;0;0;;;;;No matches found;No matches found;No MS2;[M+2H]+2;1128035,845;1142906,043;8,3;8,8
;FALSO;;;No results;No results;No results;No results;No results;;741,83159;742,83887;1,097;1368247,845;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;;1368247,845;;8,3
;FALSO;Oleoylcarnitine;C25 H47 N O4;Full match;No results;No results;Full match;No results;0,04;425,35053;426,3578;7,328;2305456,688;7;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;2305456,688;2061651,814;8,6;7,5
;FALSO;N-Nonanoylmorpholine;C13 H25 N O2;Full match;No results;No results;Full match;No results;-0,09;227,18851;228,19579;7,199;4117598,117;4;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;4117598,117;4104710,197;7,5;7,5
;FALSO;;;No results;No results;No results;No results;No results;;1519,62632;760,82043;1,104;982646,8138;0;0;0;;;;;No matches found;No matches found;No MS2;[M+2H]+2;;982646,8138;;9,3
;FALSO;;C2 H2 Cl N2 P3 S5;Full match;No results;No results;No results;No results;-0,79;341,77202;342,7793;1,147;1577356,732;0;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;1577356,732;;8,8;
;FALSO;;;No results;No results;No results;No results;No results;;311,77509;312,78236;1,173;1953886,723;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1953886,723;1822281,529;8,6;8,3
;FALSO;Dimethylcadmium;C2 H6 Cd;No results;Invalid mass;No results;Full match;No results;-4,88;143,94961;144,95692;0,306;395242,6216;1;1;0;;;42,2;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;395242,6216;260244,6325;8,2;7,1
;FALSO;DL-Lysine;C6 H14 N2 O2;Full match;Invalid mass;No results;Full match;Full match;0,06;146,10554;147,11282;1,164;2155294,497;18;8;0;;;65;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;2155294,497;;7;
;FALSO;;C2 H3 N2 O3 P;Full match;No results;No results;No results;No results;2,86;133,98851;134,99579;0,967;3922204,529;0;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;3304767,809;3922204,529;4,2;5,3
;FALSO;Acetonedicarboxylic Acid;C5 H6 O5;Full match;No results;No results;Full match;Full match;0,19;146,02155;129,01826;2,383;7256678,369;6;0;0;;;;;Multiple matches found;No matches found;DDA for other ion;[M+H-H2O]+1;6896063,35;7256678,369;5,7;7,3
;FALSO;;C9 H14 P2 S;Full match;No results;No results;No match;No results;4,86;216,03019;109,02237;0,32;1259931,855;3;0;0;;;;;No matches found;No matches found;No MS2;[M+2H]+2;1259931,855;1083387,13;4,5;8,8
;FALSO;;C4 H3 N2 O13 P3 S;Full match;No results;No results;No results;No results;-2,83;411,8557;412,86298;1,055;1425737,191;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1425737,191;1201043,458;8,3;8,8
;FALSO;;;No results;No results;No results;No results;No results;;70,02188;71,02915;0,972;4576227,958;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;4576227,958;;4,8;
;FALSO;;C5 H14 N2 P2;Full match;No results;No results;No match;No results;-1,09;164,06304;83,0388;0,976;3791662,893;5;0;0;;;;;No matches found;No matches found;DDA for other ion;[M+2H]+2;3791662,893;2882504,7;3,7;5,3
;FALSO;;C7 H2 O7 P2 S5;Full match;No results;No results;No results;No results;0,85;419,78829;420,79556;1,139;1427822,066;0;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;1427822,066;1302971,297;7,7;7,7
;FALSO;;C2 H2 Br Cl2 O5 P3 S2;Full match;No results;No results;No results;No results;0,16;411,71176;490,73396;1,142;1241276,032;0;0;0;;;;;No matches found;No matches found;No MS2;[M+DMSO+H]+1;895720,283;1241276,032;7,7;8,3
;FALSO;;C2 H7 N9 P2;Full match;No results;No results;No results;No results;-4,91;219,02889;110,52172;7,403;26907293,34;0;0;0;;;;;No matches found;No matches found;No MS2;[M+2H]+2;;26907293,34;;4
;FALSO;;C27 H45 N O2 S2;Full match;No results;No results;No match;No match;-1,84;479,28829;480,29557;7,492;3937032,396;1;0;0;;;;;No matches found;Multiple matches found;DDA for preferred ion;[M+H]+1;3103590,748;3937032,396;6,4;8
;FALSO;;C2 H2 N8 O;Full match;No results;No results;No results;No results;1,87;154,03544;177,02466;1,166;1507486,368;0;0;0;;;;;No matches found;No matches found;No MS2;[M+Na]+1;1507486,368;1505779,432;8,3;7,2
;FALSO;;;No results;No results;No results;No results;No results;;98,5239;99,53117;0,961;5005894,608;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;5005894,608;4227821,917;4,8;4,2
;FALSO;L-?-Glutamyl-L-leucine;C11 H20 N2 O5;Full match;No results;No results;Full match;Full match;0,13;260,13726;261,14453;4,155;1763860,451;12;0;0;;;;;No matches found;Multiple matches found;DDA for preferred ion;[M+H]+1;1561655,832;1763860,451;7,7;7,7
;FALSO;;C2 H N7 P2;Full match;No results;No results;No results;No results;-3,78;184,97617;185,98344;0,307;635679,5033;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;;635679,5033;;6,8
;FALSO;;C3 H2 Cl4 O11 P2 S;Invalid mass;No results;No results;No results;No results;-7,97;447,75115;448,75739;1,14;1050289,487;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1050289,487;1019256,186;7,7;7,2
;FALSO;;C21 H49 N9 O4 S;Full match;No results;No results;No match;No match;2,14;523,36394;524,37122;7,305;4522033,362;6;0;0;;;;;No matches found;Multiple matches found;DDA for preferred ion;[M+H]+1;;4522033,362;;7,5
;FALSO;;;No results;No results;No results;No results;No results;;467,71904;468,72546;1,143;1387882,158;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;;1387882,158;;7,7
;FALSO;Pyrogallol;C6 H6 O3;Full match;No results;No results;Full match;Full match;0,37;126,03174;127,03902;0,997;4329938,078;24;0;0;;;;;Multiple matches found;Multiple matches found;DDA for preferred ion;[M+H]+1;4329938,078;;7;
;FALSO;2?-O-Methyluridine;C10 H14 N2 O6;Full match;No results;No results;Full match;Partial match;-0,1;258,08516;259,09244;1,871;1706940,684;7;0;0;;;;;Single match found;Single match found;DDA for preferred ion;[M+H]+1;;1706940,684;;8,3
;FALSO;;C2 H Cl2 N2 O14 P S2;Full match;No results;No results;No results;No results;-2,17;441,79743;442,80408;1,134;1565026,465;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1565026,465;1322179,389;7,7;7,7
;FALSO;;C13 H3 O17 P3 S2;Full match;No results;No results;No results;No results;-0,55;587,80213;588,808;1,106;365198,6922;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;348273,4295;365198,6922;7,6;8,7
;FALSO;;C12 H19 N2 P3 S;Full match;No results;No results;No match;No results;1,91;316,04878;317,05606;1,376;7647714,306;1;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;7647714,306;3478711,659;4;3,7
;FALSO;chloromethylphosphonic acid;C H4 Cl O3 P;No results;No results;No results;Full match;No results;4,02;129,95918;171,993;0,306;1488644,833;2;0;0;;;;;No matches found;No matches found;No MS2;[M+ACN+H]+1;1488644,833;1431543,958;8,8;7,7
;FALSO;;C3 H2 Cl2 N2 O12 P2 S4;Full match;No results;No results;No results;No results;1,56;517,73509;518,74237;1,144;1274921,724;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1274921,724;;7,7;
;FALSO;;C3 H3 N2 O2 P3 S5;Full match;No results;No results;No results;No results;-0,48;351,80092;352,8082;1,143;1347195,131;0;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;1347195,131;1256728,103;8,3;7,7
;FALSO;;C12 H4 N6 O11 P2 S4;Full match;No results;No results;No results;No results;-0,62;597,82924;598,83652;1,102;1668225,958;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1556136,653;1668225,958;7,7;8,3
;FALSO;Glu-Gly;C7 H12 N2 O5;Full match;No results;No results;Full match;Partial match;0,37;204,0747;205,08197;1,521;10448652,41;9;0;0;;;;;No matches found;Single match found;DDA for preferred ion;[M+H]+1;10448652,41;7472406,248;6,2;3,5
;FALSO;;;No results;No results;No results;No results;No results;;283,81334;284,82062;1,142;1400341,869;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;;1400341,869;;7,7
;FALSO;;C H Cl2 N2 O10 P3 S5;Full match;No results;No results;No results;No results;-2,85;523,68097;524,68738;1,147;1168098,504;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1168098,504;;8,3;
;FALSO;;C15 H27 N O7;Full match;No results;No results;No results;No results;-0,07;333,17873;334,186;6,887;15931593,92;0;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;15931593,92;;6,2;
;FALSO;THI;C9 H14 N2 O5;Full match;No results;No results;Full match;No results;-0,09;230,09025;231,09753;1,908;1468283,437;9;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;1468283,437;1352228,276;7,7;7,2
;FALSO;;C9 H28 N6 O3 P2 S3;Full match;No results;No results;No match;No match;4,41;426,0879;214,05122;1,855;1629326,707;3;0;0;;;;;Single match found;No matches found;DDA for other ion;[M+2H]+2;1629326,707;1590169,295;6,6;8,3
;FALSO;Lauryldimethylamine oxide;C14 H31 N O;Full match;No results;No results;Full match;No results;0;229,24056;230,24784;6,801;2188137,392;1;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;2036853,57;2188137,392;8,6;8,6
;FALSO;;C8 H N5 O3;Full match;No results;No results;No match;No results;-3,07;215,00728;216,01456;1,152;1355436,193;1;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1355436,193;1153341,127;8,8;8,8
;FALSO;;C59 H99 Cl;Full match;No results;No results;No results;No results;-0,14;842,74341;422,37898;1,005;3258680,24;0;0;0;;;;;No matches found;No matches found;No MS2;[M+2H]+2;3105151,226;3258680,24;4,8;3,2
;FALSO;;;No results;No results;No results;No results;No results;;425,7336;426,74088;1,145;1031284,834;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1031284,834;;8,3;
;FALSO;;C45 H72 N5 O8 P3;Full match;No results;No results;No match;No results;0,89;903,46018;452,73737;4,82;2550780,072;2;0;0;;;;;No matches found;No matches found;DDA for other ion;[M+2H]+2;2412151,617;2550780,072;7,5;7,5
;FALSO;;C5 H3 P S2;Full match;No results;No results;No results;No results;1,15;157,94156;199,97537;0,306;417696,0947;0;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+ACN+H]+1;;417696,0947;;7,9
;FALSO;;;No results;No results;No results;No results;No results;;703,57134;704,57861;7,219;7488641,31;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;;7488641,31;;5,7
;FALSO;;C3 H12 N10 O5 P2;Full match;No results;No results;No match;No results;-1,38;330,04628;331,05356;1,517;3747044,5;1;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;;3747044,5;;4,2
;FALSO;;C5 H10 N O P S;Full match;No results;No results;No results;No results;0,58;163,02217;164,02944;1,209;1533950,479;0;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;1533950,479;1379860,433;7,7;7,2
;FALSO;;C4 H Cl2 O P3 S4;Full match;No results;No results;No results;No results;-2,99;355,74895;356,75623;1,147;1293635,161;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1284933,183;1293635,161;8,8;8,3
;FALSO;N~5~-Isopropyl-L-ornithine;C8 H18 N2 O2;Full match;No results;No results;Full match;No results;-0,32;174,13677;175,14405;1,156;1622827,971;9;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;1579079,514;1622827,971;6,1;7,2
;FALSO;;;No results;No results;No results;No results;No results;;1199,7501;600,88232;1,097;1124070,28;0;0;0;;;;;No matches found;No matches found;No MS2;[M+2H]+2;1076164,841;1124070,28;8,8;8,3
;FALSO;;;No results;No results;No results;No results;No results;;728,76307;365,38881;1,012;3453880,923;0;0;0;;;;;No matches found;No matches found;No MS2;[M+2H]+2;3297997,626;3453880,923;4,8;4,8
;FALSO;2,2?-({2-[(2-Hydroxyethyl)amino]ethyl}imino)diethanol;C8 H20 N2 O3;Full match;No results;No results;Full match;No results;0,09;192,14741;193,15469;1,31;1532565,148;2;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;1390833,583;1532565,148;8,3;8,3
;FALSO;;C6 H3 Cl2 N10 O17 P3 S;Full match;No results;No results;No results;No results;-0,01;681,79881;682,80609;1,119;579108,6452;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;;579108,6452;;9
;FALSO;Cytosine;C4 H5 N3 O;Full match;No results;No results;Full match;Full match;3,07;111,0436;245,07682;3,218;1692253,606;8;0;0;;;;;Single match found;No matches found;DDA for other ion;[2M+Na]+1;1692253,606;1677908,652;8,3;3,9
;FALSO;;C3 H4 Cl3 N4 O14 P S3;Full match;No results;No results;No results;No results;1,71;551,76988;552,77637;1,134;1200876,045;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1187513,312;1200876,045;7,2;7,7
;FALSO;;C2 H3 Cl4 N10 O7 P S5;Full match;No results;No results;No results;No results;0,83;609,72865;610,73517;1,135;1165931,234;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1165931,234;1046432,955;7,2;8,3
;FALSO;Xentrivalpeptide K;C40 H69 N7 O9;No results;No results;No results;No results;Full match;-3,97;791,51253;264,84479;1,141;1445236,511;0;0;0;;;;;No matches found;Single match found;DDA for other ion;[M+3H]+3;1445236,511;;7,7;
;FALSO;;;No results;No results;No results;No results;No results;;959,68637;480,85046;1,057;1088084,376;0;0;0;;;;;No matches found;No matches found;No MS2;[M+2H]+2;1088084,376;;8,3;
;FALSO;;C36 H82 N8 O8 S;Full match;No results;No results;No results;No results;-0,75;786,59704;787,60432;7,301;8188243,749;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;;8188243,749;;6,2
;FALSO;;C5 H2 O9 P2 S;Full match;No results;No results;No results;No results;-4,61;299,88809;300,89537;1,091;1304243,226;0;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;1304243,226;1282492,894;7,7;8,3
;FALSO;;;No results;No results;No results;No results;No results;;84,50828;85,51555;0,976;2796873,347;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;2796873,347;1905225,735;4,2;6,4
;FALSO;;C15 H9 N6 O13 P3 S5;Full match;No results;No results;No results;No results;-0,37;733,80412;734,8114;1,101;1398058,589;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1398058,589;1300395,815;8,3;7,7
;FALSO;;;No results;No results;No results;No results;No results;;429,68942;430,6967;1,174;1383140,485;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1377181,884;1383140,485;8,8;8,8
;FALSO;;C49 H104 N4 O8 S3;Full match;No results;No results;No results;No results;-0,21;972,70142;487,35799;0,992;2361975,762;0;0;0;;;;;No matches found;No matches found;No MS2;[M+2H]+2;2361975,762;2339329,171;3,2;4,8
;FALSO;EDDA;C6 H12 N2 O4;Full match;No results;No results;Full match;No results;0,04;176,07971;177,08699;2,254;9768589,07;13;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;;9768589,07;;5,7
;FALSO;vinylglycine;C4 H7 N O2;Full match;No results;No results;Full match;Full match;0,34;101,04771;102,05499;1,963;91898169,92;24;0;0;;;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;91898169,92;85735520,45;5,1;5,1
;FALSO;;C H3 Cl2 O9 P3 S5;Full match;No results;No results;No results;No results;-1,93;481,69612;482,70236;1,147;1170435,307;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1170435,307;;7,7;
;FALSO;;;No results;No results;No results;No results;No results;;403,67925;404,68597;1,173;1861623,675;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;1861623,675;1579844,844;8,3;6,6
;FALSO;;;No results;No results;No results;No results;No results;;108,01509;109,02236;7,587;24953546,74;0;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;24953546,74;;5,1;
;FALSO;?-Glu-Ala;C8 H14 N2 O5;Full match;No results;No results;Full match;Partial match;0,16;218,09031;219,09758;1,366;2886937,386;9;0;0;;;;;No matches found;Multiple matches found;DDA for preferred ion;[M+H]+1;2886937,386;2120464,854;4,8;8
;FALSO;;;No results;No results;No results;No results;No results;;1331,6334;666,82397;1,101;1519007,688;0;0;0;;;;;No matches found;No matches found;No MS2;[M+2H]+2;;1519007,688;;8,3
;FALSO;;;No results;No results;No results;No results;No results;;92,00806;93,01534;0,993;3870870,497;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;3870870,497;;5,9;
;FALSO;;C23 H3 N5 O16 P2 S5;Full match;No results;No results;No results;No results;0,46;826,76573;414,39014;0,987;2467947,351;0;0;0;;;;;No matches found;No matches found;No MS2;[M+2H]+2;2467947,351;2247100,938;5,3;2,6
;FALSO;;C4 H7 Br Cl N6 O13 P S4;Full match;No results;No results;No results;No results;1,91;619,75753;620,76386;1,123;848343,7788;0;0;0;;;;;No matches found;No matches found;No MS2;[M+H]+1;848343,7788;765688,5932;8,8;8,5
;FALSO;;C21 H37 N;Full match;No results;No results;No results;No results;0,06;303,29262;304,2999;7,153;2753628,842;0;0;0;;;;;No matches found;No matches found;DDA for preferred ion;[M+H]+1;2753628,842;2646097,833;5,9;6,4
